ind_fcode,name,parent
indroot,*DJ Industries,
i0,Agriculture,indroot
i01001,Farming,i0
i03001,Aquaculture,i01001
i0100144,Cocoa Growing,i01001
i0100137,Coffee Growing,i01001
i0100138,Cotton/Silk Farming,i01001
i01002,Horticulture,i01001
i0100201,Floriculture/Plant Nurseries,i01002
i0100206,Fruit Growing,i01002
i010020602,Citrus Groves,i0100206
i010020603,Non-citrus Fruit/Tree Nut Farming,i0100206
imarij,Marijuana Growing/Cultivation,i01002
i0100216,Vegetable Growing,i01002
ilsfarm,Livestock Farming,i01001
ibees,Beekeeping/Honey Production,ilsfarm
i0100105,Cattle Farming,ilsfarm
i010010501,Beef Cattle Farming,i0100105
i010010502,Dairy Cattle Farming,i0100105
i0100119,Hog/Pig Farming,ilsfarm
i0100121,Poultry Farming,ilsfarm
i0100124,Sheep/Goat Farming,ilsfarm
i0100132,Oilseed/Grain Farming,i01001
i010013205,Corn Farming,i0100132
i010013203,Dry Pea/Bean Farming,i0100132
i010013202,Edible Oil Plant/Seed Farming (except Soybean),i0100132
i010013206,Rice Farming,i0100132
i0100223,Soybean Farming,i0100132
i010013204,Wheat Farming,i0100132
iofarm,Organic Farming,i01001
i0100141,Rubber Growing,i01001
isugar,Sugar Farming,i01001
i0100136,Sugar Cane Farming,isugar
i0100142,Tea Growing,i01001
i0100145,Tobacco Farming,i01001
i03,Fishing,i0
i02,Forestry/Logging,i0
i04,Hunting/Trapping,i0
iseed,Seeds,i0
i05,Support Activities for Agriculture,i0
iaut,Automotive,indroot
iadrive,Autonomous Driving Technologies,iaut
i353,Motor Vehicle Parts,iaut
i3434,Automobile Electronics,i353
iautnv,Automotive Telematics,i3434
i4811,Tires,i353
iveheng,Vehicle Engine/Engine Parts,i353
i351,Motor Vehicles,iaut
i35104,Alternative Fuel Vehicles,i351
i35102,Commercial Vehicles,i351
i3510204,Buses/Coaches,i35102
i3510202,Commercial Vans,i35102
i3510203,Heavy Duty Trucks,i35102
i3510201,Light Trucks,i35102
i3640030,Dual Mode Vehicles,i351
i36301,Motorcycles,i351
i35101,Passenger Cars,i351
i35103,Sports Utility Vehicles,i35101
i352,Recreational Vehicles,i351
ibasicm,Basic Materials/Resources,indroot
i25,Chemicals,ibasicm
i2562,Adhesives,i25
iagro,Agrochemicals,i25
i2513,Fertilizer,iagro
i2568,Pesticides,iagro
i26,Artificial/Synthetic Fibers,i25
i2511,Basic Inorganic Chemicals,i25
i2512,Basic Organic Chemicals,i25
i25121,Petrochemicals,i2512
i2565,Explosives,i25
ifulads,Fuel Additives,i25
i2567,Industrial Gas,i25
i2551,Paints/Coatings,i25
i2552,Printing Inks,i25
i2514,Resin/Synthetic Rubber,i25
i2516,Synthetic Dyes/Pigments,i25
imet,Mining/Quarrying,ibasicm
i111,Coal Mining,imet
i112,Coal Mining Support Activities,imet
ifrack,Fracking,imet
i212,Metal Mining Support Activities,imet
i211,Metal Ore Mining,imet
i2111,Ferrous Metal Ore Mining,i211
infmore,Non-ferrous Metal Ore Mining,i211
ialomin,Aluminum Ore Mining,infmore
i2114,Copper Ore/Nickel Ore Mining,infmore
igoldm,Gold Ore Mining,infmore
i2113,Lead Ore/Zinc Ore Mining,infmore
iraremet,Rare Earth Metals,infmore
i2112,Silver Ore Mining,infmore
itttm,Tin/Tantalum/Tungsten Ore Mining,infmore
iuran,Uranium Ore Mining,infmore
i232,Mineral Mining Support Activities,imet
i231,Non-metallic Mineral Mining/Quarrying,imet
igems,Gemstone Mining,i231
isalt,Salt Extraction,i231
i2312,Sand/Gravel/Clay,i231
i2311,Stone Mining/Quarrying,i231
i23111,Limestone Mining/Quarrying,i2311
ipper,Paper/Pulp,ibasicm
i471,Paper Mills,ipper
i473,Paperboard Mills,ipper
i47101,Pulp Mills,ipper
i22,Primary Metals,ibasicm
i221,Ferrous Metals,i22
i225,Ferrous Metal Foundries,i221
isteel,Steel Production,i221
i223,Steel Cold Rolling/Forming,isteel
i224,Non-ferrous Metals,i22
i2245,Aluminum,i224
i2246,Copper/Copper Alloys,i224
i226,Non-ferrous Metal Foundries,i224
i22472,Precious Metals,i224
i222,Steel/Iron Products,i22
i46,Wood Products,ibasicm
i461,Sawmills/Wood Preservation,i46
i462,Veneer/Plywood,i46
ibcs,Business/Consumer Services,indroot
iacc,Accounting/Consulting,ibcs
i836,Accounting,iacc
i8362,Payroll Services,i836
i8361,Tax Preparation Services,i836
icnsl,Business Consultancy,iacc
iengine,Engineering Services,icnsl
i8395404,Human Resources Consulting,icnsl
iitcns,IT Consulting,icnsl
i83951,Management Consulting,icnsl
i8395401,Marketing Consulting,icnsl
iproc,Procurement/Supply Chain Consulting,icnsl
i83109,Risk Management Services,icnsl
iadmin,Administrative/Support Services,ibcs
ibill,Billing Services,iadmin
i8395408,Business Service Centers,iadmin
i8395466,Data Processing Services,iadmin
ielcfsv,Electronic Conferencing Services,iadmin
iincub,Incubators/Business Development Services,iadmin
i8395412,Packaging/Labeling Services,iadmin
i8395407,Telephone Call Centers,iadmin
i8395403,Translation/Interpretation Services,iadmin
i8395406,Typing/Document Preparation Services,iadmin
iadv,Advertising/Marketing/Public Relations,ibcs
i83952,Market Research/Public Relations,iadv
i8395201,Market Research/Opinion Polling,i83952
i8395205,Public Relations,i83952
imark,Marketing,iadv
i838,Advertising,imark
i8384,Film/Cinema Advertising,i838
i8395402,Media Buying,i838
ioutad,Outdoor Advertising,i838
i8381,Print Advertising,i838
i8383,Radio Advertising,i838
i8382,TV Advertising,i838
ividad,Video Advertising,i838
i8395411,Conventions/Trade Shows,imark
i8385,Digital Marketing,imark
idirma,Direct Marketing,imark
itelem,Telemarketing,idirma
i8395448,Sales Promotion,imark
i98211,Agents/Managers for Public Figures,ibcs
i8394,Computer Services,ibcs
i83943,Computer Facilities Management,i8394
i8394007,Computer Maintenance/Support,i8394
i83942,Computer Systems Design Services,i8394
idsrs,Data Recovery Services,i8394
idware,Data Warehousing,i8394
idebtr,Debt Recovery/Collection Services,ibcs
i8396,Diversified Holding Companies,ibcs
i981,Dry Cleaning/Laundry Services,ibcs
i983,Educational Services,ibcs
i9837,Automobile Driving Schools,i983
i9831,Business Schools,i983
i95109,Child Day Care Services,i983
i9834,Computer/Computer-aided Training,i983
i9836,Language Schools/Tuition,i983
i9833,Professional/Management Training,i983
i9835,Sports/Physical Recreation Instruction,i983
iewm,Environment/Waste Management,ibcs
icarbon,Carbon Capture/Storage,iewm
i8395413,Environmental Consulting Services,iewm
i9231,Exterminating/Pest Control Services,iewm
i9211,Waste Management/Recycling Services,iewm
i92113,Remediation/Cleanup Services,i9211
i36103,Shipbreaking,i9211
i92111,Waste Collection,i9211
i92114,Waste Sorting/Recycling,i9211
i92112,Waste Treatment/Disposal,i9211
i9212,Wastewater Treatment,i9211
irdops,Highway Operation,ibcs
iinvest,Investigation Services,ibcs
i835,Legal Services,ibcs
iflaw,Family Law Services,i835
imove,Moving/Relocation Services,ibcs
i98204,Parking Lots/Garages,ibcs
i493,Photographic Processing,ibcs
i67,Product Repair Services,ibcs
i671,Automotive Repair/Maintenance,i67
i673,Machinery Repair/Maintenance,i67
i98205,Professional Bodies,ibcs
i8395405,Recruitment Services,ibcs
itemp,Temporary Employment Services,i8395405
i84,Rental/Leasing Services,ibcs
i841,Agricultural Equipment Rental/Leasing,i84
i8480401,Aircraft Rental/Leasing,i84
i842,Construction Equipment Rental/Leasing,i84
i846,Consumer Goods/Appliances Rental,i84
indleas,Industrial Machinery/Equipment Rental/Leasing,i84
i843,Office Equipment Rental,i84
irleas,Rail Transport Equipment Rental/Leasing,i84
i8480410,Ship Rental/Leasing,i84
iautlsg,Vehicle Rental/Leasing,i84
i84802,Light Commercial Vehicle Rental/Leasing,iautlsg
i84801,Passenger Car Rental/Leasing,iautlsg
i84803,Truck/Trailer Rental/Leasing,iautlsg
i8395414,Scientific Research Services,ibcs
imedres,Medical Research Services,i8395414
iproteo,Proteomics/Protein Therapy,imedres
istemcll,Stem Cell Research,imedres
i98207,Security Systems Services,ibcs
i98206,Security/Prison Services,ibcs
i923,Services to Facilities/Buildings,ibcs
i9232,Cleaning Services,i923
ilandsc,Landscaping/Gardening Services,i923
ishell,Shell Company,ibcs
iscsv,Specialized Consumer Services,ibcs
i98201,Beauty/Personal Care,iscsv
idating,Dating Services,iscsv
i98202,Funeral Services,iscsv
i98203,Pet Care (except Veterinary),iscsv
i83953,Photographic Services,iscsv
i98208,Vehicle Towing/Assistance,iscsv
iwedd,Wedding Services,iscsv
i837,Technical Services,ibcs
i8372,Design Services,i837
